('__HVKcFKVdr6lVFH2rdQVw', 'Bee', 'Philadelphia, PA', 'October 2007', 6L, 70L, 7L, None, '6-57-20', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('_HlPEm9jWaRNdSmJDf7G8A', 'Rachel B.', 'Philadelphia, PA', 'March 2010', 9L, 13L, None, None, '0-11-9', 3L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('_MAEeRbhTae7Ex0DEW4m0A', 'Ashley C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 52))
('_mfY9p0bX1osRkCi-phjKg', 'Jason K.', 'Philadelphia, PA', 'February 2011', 14L, 14L, 1L, None, '0-9-1', None, datetime.datetime(2013, 12, 7, 17, 15, 17))
('_MHWDWmKaDM4R_NXoJHZUA', 'Brian B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 55))
('_N0RHBTw0D5jjiqbMzPjUg', 'C B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 45))
('_NizteLDHktQh5GtLgx5wg', 'Tyler e.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 8, 2))
('_nkO9jxEAi1b0M18BQ4OBw', 'closed', 'closed', 'closed', -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('_NSqTZEa7Z6yNQULI0pWcg', 'Will C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 34))
('_NWrA-fy0QX73tjwKxJpdg', 'Mumbai B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 48, 20))
('_ocw7VJqWBc_4GlkR_mtsA', 'Christopher L.', 'Philadelphia, PA', 'August 2011', 338L, 0L, None, None, None, 2L, datetime.datetime(2013, 12, 7, 17, 14, 37))
('_OOCtlUhIp94w3wZf8-6cA', 'Joseph K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('_pLlyJdD0RQjUC_PZZdA9Q', 'Rico A.', 'Philadelphia, PA', 'April 2011', 21L, 2L, None, None, '0-1-0', None, datetime.datetime(2013, 12, 7, 17, 7, 23))
('_qlzG5OgZYZ4toRoiBGMNw', 'Joanna H.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 50, 37))
('_rDgPG4YP48xjIj3OJ28bw', 'Steve B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('_Tiu_UTnxr6oeeakPXgCrg', 'Bill C.', 'Philadelphia, PA', 'March 2009', 57L, 29L, None, None, '3-12-4', 4L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('_TN2UfQ8GMeWgjpjLXca6g', 'Crystal B.', 'Philadelphia, PA', 'January 2010', 4L, 10L, None, None, '10-19-9', 1L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('_U5IJ1PZz6_G9eqtsKsV9w', 'Ross C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('_UUWLQPjaCKi5OmurLYUjw', 'Virginia S.', 'Philadelphia, PA', 'December 2012', 13L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 56))
('_uXVSNcN0w3u9pYCW2Hp1A', 'Shazana G.', 'Philadelphia, PA', 'July 2009', 32L, 19L, None, None, '4-27-20', 8L, datetime.datetime(2013, 12, 7, 17, 20, 53))
('_V6VASmmr0BcYLoFA-NpkQ', 'jennifer s.', 'Philadelphia, PA', 'November 2009', 41L, 13L, 4L, None, '5-39-8', 5L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('_x57E2dUWodQY-3mi06BNQ', 'Terrance T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 50, 37))
('_XtC5AosHMq8oY2ONWHXvQ', 'Brittany G.', 'Philadelphia, PA', 'May 2010', 4L, 10L, 1L, None, '9-47-6', None, datetime.datetime(2013, 12, 7, 17, 17, 41))
('_YoUCooGU0tyIGE99T3Axw', 'Joe M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 9, 57))
('_ytx-JT-RZcTA4aovdmR_Q', 'Retset Y.', 'Philadelphia, PA', 'April 2007', 73L, 79L, 5L, '09', '26-190-100', 39L, datetime.datetime(2013, 12, 7, 16, 57, 26))
('_YURp-Tv9UoI3sePHpceoA', 'Armond S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('_ZhkniVJckO3_LbRT4q02Q', 'Keira Z.', 'Philadelphia, PA', 'June 2010', 23L, 0L, None, None, None, 1L, datetime.datetime(2013, 12, 7, 17, 14, 12))
('_zhw8jZJXbLCvP7EAixVRw', 'Maria S.', 'Philadelphia, PA', 'April 2008', 96L, 5L, 1L, None, '0-2-0', 1L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('-_UsvsLV7kxl8np_MRokMQ', 'Tabitha J.', 'Philadelphia, PA', 'November 2011', 11L, 64L, 6L, None, '46-96-49', 10L, datetime.datetime(2013, 12, 7, 17, 16, 46))
('-_wHkz30L9ejOMfibtCg7Q', 'Jean-Robert L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 48))
('--ccVMj2PN6Z9qtdOdlung', 'Kacie M.', 'Philadelphia, PA', 'August 2008', 20L, 14L, 2L, None, '28-53-50', 14L, datetime.datetime(2013, 12, 7, 17, 13, 15))
('-07_kRc0VH2-hLYztONQVg', 'anna h.', 'Philadelphia, PA', 'July 2009', 23L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 15, 17))
('-16TFcgZyYJ6gchpgJVCxQ', 'Fred J.', 'Philadelphia, PA', 'July 2011', 7L, 8L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 17, 8))
('-1hk-8JOLJNqFjToa2Pjvw', 'Bryon S.', 'Philadelphia, PA', 'June 2010', 56L, 1L, None, None, '9-18-4', None, datetime.datetime(2013, 12, 7, 16, 58, 18))
('-43uAiZZ6wsGhaurBi3Cdw', 'Vinicius C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 47))
('-5WfT5UPrKVSmUJmDYyTiw', 'harris d.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 11))
('-7-d8x5w5c9QolAMgPTKZg', 'Daniel M.', 'Philadelphia, PA', 'July 2011', 47L, 58L, 6L, '13', '30-37-26', 21L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('-71bzHDzqVShlGF57nKSdA', 'Aaron S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-7xtkPo3A08pQhCWukgCNA', 'Alexandra T.', 'Philadelphia, PA', 'closed', -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 57))
('-974AF2ao1YvA1GcqwPwHQ', 'Brandon B.', 'Philadelphia, PA', 'November 2011', 6L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('-9QkQjWUDPBDJJLgMpJ8cw', 'Brian B.', 'Philadelphia, PA', 'November 2011', 17L, 1L, None, None, '2-3-1', None, datetime.datetime(2013, 12, 7, 17, 20, 53))
('-b_9QrXzcOplbLV_c2ascA', 'Permantelle D.', 'Philadelphia, PA', 'January 2012', 1L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('-FKfM0bv20BYRlxtqAPjZg', 'Jenny K.', 'Philadelphia, PA', 'December 2011', 34L, 1L, None, None, None, 1L, datetime.datetime(2013, 12, 7, 17, 16, 3))
('-FwCXFfVjaz8rZtRv0CILg', 'Mark K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-fyH-PmRoVxmXariVuN1jw', 'Jane M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-FZpe57hZQDdlsBaCrMkEQ', 'Peter D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-HP-_4Yhp4k73LgHj1uYaw', 'Maryelis S.', 'Philadelphia, PA', 'September 2010', 1L, 1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 14, 12))
('-lbNYxWHPkLJYf891XueRQ', 'Katherine R.', 'Philadelphia, PA', 'February 2009', 64L, 91L, 4L, '11-10', '67-194-83', 38L, datetime.datetime(2013, 12, 7, 17, 13, 15))
('-LKl_XQJkGE0GDrXBjWRlw', 'Tierra M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 21))
('-N_Xn2HeII7W2_K1XzF0nA', 'Bernard G.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('-om8SjUgPLhGyvKtG2tGkw', 'Benjamin R.', 'Philadelphia, PA', 'June 2010', 20L, 22L, 1L, None, '21-43-20', 9L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('-OZPBHH7RzyPIai4AlPWKA', 'Leo I.', 'Philadelphia, PA', 'October 2007', 453L, 332L, 4L, '13-12-11', '378-468-284', 359L, datetime.datetime(2013, 12, 7, 17, 16, 3))
('-pKCLGzyn4iySngd4JIgeQ', 'M M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-sdBL7OIvk6UfrC3L7_eRw', 'Kenneth O.', 'Philadelphia, PA', 'April 2012', 214L, 11L, 2L, None, '5-30-3', 26L, datetime.datetime(2013, 12, 7, 17, 16, 22))
('-SuCfz-c7gZO3Ud4LtEg1w', 'Greg S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('-uMqK8W_nWbRUWOFGW7CBw', 'BJ E.', 'Philadelphia, PA', 'September 2007', 47L, 84L, 18L, None, '23-82-21', 8L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('-VNhwhkyjyZVVdSS4LUk7w', 'Sean L.', 'Philadelphia, PA', 'June 2010', 6L, 3L, 2L, None, '2-3-3', 1L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('-VP-lp-6ubpnktiJbz8s6w', 'Fredric S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 1, 22))
('-yJ0Kmy0uGnuUPd3xeD7NQ', 'Jason C.', 'Philadelphia, PA', 'June 2010', 108L, 1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('-ymYfHVitX5TBi79ZQqn4A', 'Chris W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 5))
('-YzJnRCeAJtCYeUmP-lNOQ', 'Phyllis c.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 3, 45))
('0_FWb5d-EkJVaP0GAr0gcQ', 'Jeff H.', 'Philadelphia, PA', 'May 2008', 17L, 101L, 40L, '09-08', '79-227-114', 37L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('0_OnP9qnmNO5YgTnbND1_g', 'Barbara M.', 'Philadelphia, PA', 'September 2013', 13L, 3L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0-ZRrTVRuQJ8MzuZFJMZxg', 'Beetle S.', 'Philadelphia, PA', 'closed', -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 16, 15, 57))
('01JtywQEvF7wIePoducP1w', 'Kate B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 47))
('02CYCa6OXQgfrg5VK50qMw', 'Danish N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 56, 19))
('04hS_dGfUZd_5iJYRdPHLw', 'Julie N.', 'Philadelphia, PA', 'March 2011', 57L, 140L, None, '13-12', '65-218-124', 42L, datetime.datetime(2013, 12, 7, 17, 22, 20))
('05p_wVNlanc0vFEjjzLoWg', 'Ilya F.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 3, 18))
('09XbNpJmTbdjKJdLbfog5w', 'Tir Na N.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('0A0Za7HudAy7-C3lygSBYA', 'Vinh T.', 'Philadelphia, PA', 'August 2008', 21L, 64L, None, None, '19-53-27', 7L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('0BoneytlvD21L4fkbBfEFw', 'Becca L.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 5))
('0D_XYVThca-BKtSQcxyGlA', 'Tina B.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 57))
('0d1Qa6dckkZ9UTK_1_eNTw', 'Meg R.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('0Ear9GEUEvSceG6uDsmyfg', 'Meredith B.', 'Philadelphia, PA', 'November 2011', 171L, 241L, 12L, '13-12', '106-364-163', 100L, datetime.datetime(2013, 12, 7, 17, 15, 1))
('0fvMjqvgpoSHPzt2VnKANw', 'Caitlin W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('0g-1WJTW71wixkz4-SQeFA', 'A B.', 'Philadelphia, PA', 'October 2008', 491L, 152L, 13L, '12-11-10', '976-981-979', 668L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0GNqPGZNPNoTcJ1PFJrexw', 'Brendan M.', 'Philadelphia, PA', 'March 2009', 54L, 25L, None, None, '11-21-12', 10L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0gsonbGcgyvUESwJPcLiAQ', 'Cella S.', 'Philadelphia, PA', 'May 2008', 34L, 0L, None, None, None, 31L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('0h8YxaL9MnA9LsKKOYWggA', 'Angela K.', 'Philadelphia, PA', 'September 2010', 80L, 9L, None, None, '0-10-1', None, datetime.datetime(2013, 12, 7, 17, 21, 7))
('0ius8DPk6oXOZ5CaRGhtGA', 'Marci P.', 'Philadelphia, PA', 'November 2010', 198L, 1L, None, None, '1-1-1', None, datetime.datetime(2013, 12, 7, 17, 6, 56))
('0K9H88eoVeONhxIbj-ywlw', 'Robert D.', 'Philadelphia, PA', 'March 2008', 403L, 30L, 1L, None, '13-60-37', 9L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('0kGjjGftV5PdhnZanz39vw', 'Sarah C.', 'Philadelphia, PA', 'January 2008', 20L, 19L, 1L, None, '9-43-33', 7L, datetime.datetime(2013, 12, 7, 17, 21, 42))
('0KJUKGamcBoYxS0R_a15Gg', 'Dan D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 47))
('0ktB3tcpSMCeKGxPl8lyBw', 'Mitchell C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 26))
('0kvtON31jcxO4wwL1T6Gwg', 'Paul S.', 'Philadelphia, PA', 'April 2011', 16L, 2L, None, None, '2-5-1', None, datetime.datetime(2013, 12, 7, 17, 15, 45))
('0MkmIZeQifmwK5NCXpdkpA', 'Dan K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 58, 25))
('0MP38Eo_X45oHNvcKTLkRA', 'Andrew M.', 'Philadelphia, PA', 'August 2007', 50L, 19L, 3L, None, '12-42-23', 6L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('0nc5YwobSMCzB7t-bs5GyA', 'Alexandra C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('0NotDzL94BzHA2LD78SxtQ', 'Brian D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 40))
('0nqUmhc2qGmI9UsWR4HPhQ', 'Jazmin I.', 'Philadelphia, PA', 'September 2007', 85L, 88L, 5L, '10-09', '99-144-93', 41L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('0ohh1IQ6Im0mCVoegDgIKQ', 'Daniel M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 7, 50))
('0oWnBfUjAv7ZmTWaW8Ufdg', 'Deann M.', 'Philadelphia, PA', 'October 2008', 77L, 150L, 5L, '12-09', '28-168-77', 39L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0ppMo5YHewWO-F1FHfpjnQ', 'becky s.', 'Philadelphia, PA', 'July 2010', 65L, 17L, None, None, '18-27-12', 1L, datetime.datetime(2013, 12, 7, 17, 7, 14))
('0QNF2VXke9yvKhmBgUf5jg', 'Patricia Mary H.', 'Philadelphia, PA', 'October 2009', 5L, 4L, None, None, '1-4-2', 4L, datetime.datetime(2013, 12, 7, 17, 14, 12))
('0rJEPMiPyFsxjeV1RCjbPw', 'Nick M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 51, 1))
('0tvmwWHLwLwy7EIz7Dcx2g', 'Bonnie C.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 47, 37))
('0us9bFdds4rqm117K-DCHw', 'Carolyn L.', 'Philadelphia, PA', 'February 2011', 50L, 96L, 5L, '13-12-11', '45-142-64', 43L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0uvyVB9f-9TgT3g0sxIUig', 'Sarah W.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 42))
('0V6r4yvShOVHBcGbuxRfXA', 'Rob W.', 'Philadelphia, PA', 'February 2013', 42L, 0L, None, None, None, 7L, datetime.datetime(2013, 12, 7, 17, 21, 2))
('0vdy7uzdUgcJ2XZbFh5X9A', 'Kathy M.', 'Philadelphia, PA', 'January 2011', 9L, 5L, 1L, None, '0-6-2', 1L, datetime.datetime(2013, 12, 7, 17, 15, 45))
('0vmTYffw-apSxx4cjhKLQQ', 'Suzanne S.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 0, 57))
('0vp1FRLcarD8EuAeaNZzJg', 'Janine F.', 'Philadelphia, PA', 'August 2010', 10L, 26L, None, None, '6-20-9', 5L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('0w5-lVZXr0wq1vF1Ho0c5g', 'May C.', 'Philadelphia, PA', 'July 2011', 1L, 4L, None, None, '3-2-2', None, datetime.datetime(2013, 12, 7, 17, 18, 43))
('0XoHZH00eBIfSDMiB3CJ4g', 'DJ K.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 14))
('0Xsh-GDa3bo2yonVStRKMQ', 'Star T.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('0XWBEoDJnBBR5de45yqBLQ', 'Rashu P.', 'Philadelphia, PA', 'November 2011', 36L, 2L, None, None, None, 3L, datetime.datetime(2013, 12, 7, 17, 7, 14))
('0YcLoR8SCZd4YNa2_ezBTA', 'Dan S.', 'Philadelphia, PA', 'July 2012', 9L, 9L, None, None, '6-21-5', 7L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('0YobZ3-UdiNNgN3iHEgAKw', 'Tyler V.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 53, 41))
('0YQdlJhrF1an1-sgCdq4Sg', 'Joe M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 46, 55))
('0YyF7OrD2VEUVUiYmKZ8MA', 'Tanya M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 4, 33))
('0Zasdmdb0P_iTqcwjq802Q', 'Joe G.', 'Philadelphia, PA', 'November 2011', 6L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('1_6dWnNCL63XKXERZmkfUA', 'St\xc3\xa9phane J.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 6, 52))
('10gKf4-bYw9XrSlbDZzDcg', 'Matthew S.', 'Philadelphia, PA', 'November 2007', 10L, 12L, 1L, None, '9-35-25', 6L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('10P_ZZdkG1UyIzSvL1UE-A', 'Kelly \xc2\xa0F.', 'Philadelphia, PA', 'June 2009', 19L, 7L, None, None, '5-15-3', None, datetime.datetime(2013, 12, 7, 16, 57, 26))
('11IoaP6J0JLrGRsICiIyEw', 'Meredith M.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 54, 36))
('15kr3p17ZFJzLu7y2rtoKw', 'Eleanor M.', 'Philadelphia, PA', 'April 2012', 19L, 46L, 5L, None, '10-25-9', 18L, datetime.datetime(2013, 12, 7, 17, 21, 2))
('16-28V8R9j3ep-1vdYZ1Cw', 'Bill A.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 18, 57, 35))
('170h4iUYltfBW76EYoOjhA', 'Nate K.', 'Philadelphia, PA', 'May 2009', 15L, 44L, 15L, None, '40-71-28', 19L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('178lUNiULUgxi8fdm1zXmA', 'Krystle N.', 'Philadelphia, PA', 'July 2011', 86L, 194L, 38L, None, '56-89-23', 22L, datetime.datetime(2013, 12, 7, 17, 16, 22))
('19ao0pYpBJiTXH6Uq9c4CA', 'closed', 'closed', 'closed', -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 18, 55))
('19ilIHOTdoITIkIulGIjTw', 'Lee Ann D.', 'Philadelphia, PA', None, -1L, -1L, None, None, None, None, datetime.datetime(2013, 12, 7, 19, 2, 18))
('1Ao0oFwR0I5fldstHtmx_w', 'Anne H.', 'Philadelphia, PA', 'September 2009', 9L, 36L, 2L, None, '14-55-30', 14L, datetime.datetime(2013, 12, 7, 17, 20, 12))
('1aqc1ykoQuCRCPjyD3ZgjQ', 'Debbie G.', 'Philadelphia, PA', 'November 2009', 14L, 20L, None, None, '23-62-37', 16L, datetime.datetime(2013, 12, 7, 17, 18, 43))
('1axYS9kAFqoGq73V1cgJzA', 'Christopher B.', 'Philadelphia, PA', 'February 2007', 1L, 5L, None, None, '1-1-1', None, datetime.datetime(2013, 12, 7, 17, 21, 42))
('1BbVOy1VydAcpfDeIi154w', 'Tedford J.', 'Philadelphia, PA', 'February 2011', 114L, 0L, None, None, None, None, datetime.datetime(2013, 12, 7, 17, 20, 12))
('1bEllN7PwMVH10U0fXBZMg', 'Claire O.', 'Philadelphia, PA', 'March 2009', 92L, 127L, 1L, '12-11-10-09', '198-462-338', 115L, datetime.datetime(2013, 12, 7, 16, 7, 32))
('1Dgjx4glo2Xex9hVwL_DTA', 'Chantell K.', 'Philadelphia, PA', 'August 2010', 41L, 50L, 2L, None, '24-80-25', 15L, datetime.datetime(2013, 12, 7, 17, 18, 43))
